feature,importance
std_delta_delta_log_energy,122
std_6th_delta_delta,104
mean_MFCC_3rd_coef,88
tqwt_energy_dec_6,87
tqwt_minValue_dec_17,81
std_MFCC_2nd_coef,79
tqwt_entropy_shannon_dec_32,77
tqwt_medianValue_dec_36,71
tqwt_entropy_log_dec_27,68
mean_MFCC_6th_coef,67
std_8th_delta,64
GNE_NSR_SEO,61
tqwt_entropy_shannon_dec_36,59
tqwt_entropy_shannon_dec_9,58
tqwt_TKEO_std_dec_19,53
tqwt_TKEO_mean_dec_21,53
tqwt_stdValue_dec_25,49
tqwt_stdValue_dec_32,49
minIntensity,47
std_Log_energy,45
det_LT_entropy_log_1_coef,45
GNE_NSR_TKEO,43
tqwt_minValue_dec_11,42
numPulses,40
tqwt_kurtosisValue_dec_35,40
tqwt_TKEO_std_dec_12,38
std_6th_delta,38
b1,38
tqwt_entropy_log_dec_18,37
tqwt_entropy_log_dec_12,36
tqwt_minValue_dec_7,34
tqwt_kurtosisValue_dec_24,34
std_MFCC_8th_coef,33
std_7th_delta,33
tqwt_kurtosisValue_dec_27,31
tqwt_energy_dec_12,30
tqwt_entropy_shannon_dec_16,29
tqwt_energy_dec_21,25
tqwt_minValue_dec_14,24
tqwt_energy_dec_27,23
f2,22
tqwt_energy_dec_25,21
tqwt_kurtosisValue_dec_23,19
tqwt_minValue_dec_13,14
tqwt_TKEO_std_dec_23,12
tqwt_kurtosisValue_dec_25,11
tqwt_TKEO_std_dec_27,11
tqwt_minValue_dec_2,10
tqwt_energy_dec_4,5
std_MFCC_9th_coef,3
